0,MAIN__,2264550924
1,__config_MOD_loadconfig,11687002
2,__libc_start_main,-13775605654
3,__variables_MOD_init_variables,44409877
4,adjust_ufvf_,101094975
5,adjust_uv_,108955409
6,advave_,186733179
7,advct_,319755839
8,baropg_,404529988
9,bcond1_,41442158
10,bcond2_ua_,84283386
11,bcond2_va_,25456035
12,bcond3_u_,92285026
13,bcond3_v_,47644848
14,bcond4_,436115850
15,bcond6_,261854421
16,bottom_friction_,26612136
17,dens_,314965079
18,external_el_,48668015
19,external_ua_,156956936
20,external_update_,380318948
21,external_va_,124215949
22,get_time_,9649
23,init_fields_,59506
24,internal_q_,1412456579
25,internal_t_,728742721
26,internal_u_,453753373
27,internal_update_,3551029
28,internal_v_,359974345
29,internal_w_,178492268
30,lateral_bc_,5975
31,lateral_viscosity_,50609911
32,main,17858
33,mode_interaction_,178392904
34,print_section_,162966262
35,read_init_,4551917873
36,smoth_update1_,8301207
37,smoth_update_,35855342
38,surface_forcing_,6989284
39,update_initial_,144647544
all time: 13759279610 13759.3 ms
error time: 16.326 ms
