0,MAIN__,2296267998
1,__config_MOD_loadconfig,6318043
2,__libc_start_main,-13754821498
3,__variables_MOD_init_variables,46707997
4,adjust_ufvf_,104846942
5,adjust_uv_,78848691
6,advave_,177018659
7,advct_,264629170
8,baropg_,324129589
9,bcond1_,49412756
10,bcond2_ua_,93491776
11,bcond2_va_,24619199
12,bcond3_u_,61947926
13,bcond3_v_,82705818
14,bcond4_,439957887
15,bcond6_,212054211
16,bottom_friction_,28048873
17,dens_,447822441
18,external_el_,77788642
19,external_ua_,148059121
20,external_update_,376599328
21,external_va_,167965283
22,get_time_,7594
23,init_fields_,59178
24,internal_q_,1357512194
25,internal_t_,669386167
26,internal_u_,479199677
27,internal_update_,3559576
28,internal_v_,311483199
29,internal_w_,117572465
30,lateral_bc_,6381
31,lateral_viscosity_,45406271
32,main,18948
33,mode_interaction_,146169403
34,print_section_,223108998
35,read_init_,4642667825
36,smoth_update1_,5641232
37,smoth_update_,52115878
38,surface_forcing_,6726071
39,update_initial_,168765904
all time: 13738647311 13738.6 ms
error time: 16.1742 ms
