id,funcname,4,6,16,24,36,48,52,64,84,96
0,external_el_,59574204,52278796,42834686,39418869,36277044,54837693,43216055,38393964,36997645,36373811
1,bcond2_ua_,121647153,106039420,94703482,77890087,73643957,87335615,86514748,76523778,73783207,72602580
2,MPI_Bcast,6341871,31254883,38813982,82228864,65147691,72943370,65267641,77697224,71371405,93053387
3,MPI_Type_commit,7212030,7226608,8475650,9891284,10888380,14744704,14074768,15008445,18391731,19730241
4,bcond6_,739016507,584830727,325293191,247077147,205755510,240438993,219262271,211720347,191582792,164442500
5,bcond3_u_,142002177,112024428,68790387,53752041,45924780,53511632,58004858,39984750,38134699,36805203
6,baropg_,2337930480,1614676288,750335415,513102237,450278546,388489962,352764695,336100054,262010317,249831474
7,MPI_Comm_free,279995,253109,689140,394467,449690,1115532,541603,584643,476140,575064
8,external_va_,172047861,152333118,173981147,111410856,134654319,136517220,146586241,107746720,104525652,100263074
9,__libc_start_main,-44684486461,-35124592192,-18651671581,-15727105695,-13582677721,-13809914355,-12978817490,-12104025799,-11446771910,-11360388641
10,internal_update_,12445110,8714404,5113880,3868615,3407183,3456250,3230989,3071839,3059519,3042250
11,init_fields_,51408,51200,50820,52512,53041,52461,52591,50893,51846,51424
12,dens_,754229612,579916869,443405558,393821515,289945155,369700315,339327051,363571168,301237190,251183757
13,MPI_Type_free,209382,230737,351835,442033,564942,773809,757678,914184,1108413,1235555
14,internal_v_,2566646986,1749492485,734819497,541443280,396810754,379111837,340684895,307452993,251890106,239491510
15,MPI_Type_size,104554,101005,103893,77759,69152,61154,59513,51553,59917,50170
16,MPI_Waitall,423256763,596698176,80004132,85311454,69667338,81360285,59057190,113358923,85626873,71517118
17,mpi_get_processor_name_,986,1034,1263,1049,1082,964,935,1154,1296,877
18,surface_forcing_,21189936,16223505,9690181,8972426,8138924,7696274,7682132,7455970,7131608,7024832
19,MPI_Get_processor_name,3758,3461,3316,3433,3673,3086,3758,3670,3178,3704
20,MPI_Init,2020284880,2016180226,2021353013,2014940375,2046543594,2021523603,2161739856,2030969668,2031295392,2033834515
21,internal_t_,6566004764,4424121558,1755487195,1308412064,950185732,866301294,764213914,628061288,574729303,476258795
22,__config_MOD_loadconfig,4739692,4304817,4539578,5088319,5430335,5674344,4901208,5108183,7190013,6330843
23,mpi_comm_rank_,1310,1180,1056,1159,992,1272,1222,992,1256,1477
24,get_time_,8065,8801,8257,8269,8045,7517,7963,8668,7472,8309
25,external_update_,348684784,291107307,340061119,219343986,249249041,288805388,275974114,213287644,215100100,214167874
26,bcond1_,42181397,39016687,70260542,33946203,31260249,85800799,37729309,33655694,31987020,32201225
27,read_init_,5941745752,7104386295,4096080403,4115142136,3850134814,3756385466,3708662102,3747524470,3630228429,3824987668
28,main,19191,19953,19354,19772,19881,19604,18382,19827,19870,18884
29,bcond2_va_,70115706,52828583,31699372,28348296,25429895,25235182,24733977,23796073,24068922,22734234
30,adjust_ufvf_,694185602,487769633,200101008,145885051,111432645,121339189,106418531,100851455,78153228,77500876
31,lateral_bc_,6008,6267,6976,5465,5037,4421,5731,5079,5032,5077
32,MPI_Comm_dup,4206566,5077474,6750711,7851655,8933997,9671131,11007296,10982439,13035997,14849151
33,update_initial_,223764519,188000132,195579796,180880084,121727768,162795787,152174796,145526355,121552207,120376034
34,external_ua_,197625836,144854204,182508514,112531253,170311215,138598780,125545529,108719811,113442364,104475984
35,bcond3_v_,115338562,93764053,54974331,52264591,42389104,51274924,47877418,37857758,36266430,36223240
36,bottom_friction_,27150248,27390838,24445800,23510995,54444633,29513490,29040215,24464363,23514627,23679769
37,MPI_Recv,1238489333,815607028,281657530,316625380,253924959,193608694,169351282,158157801,177764047,169277537
38,MPI_Barrier,68842838,293105795,127579342,206937989,176808820,166466693,222893818,170557854,275751484,365902944
39,advave_,153985321,146951576,236210131,133715281,217303898,279293470,161891627,137325415,145772988,133458880
40,mpi_comm_size_,329,459,355,350,308,317,548,337,290,349
41,MPI_Send,256412,243844,251303,257233,251087,453135,490954,632471,237891,250400
42,bcond4_,1765099969,1302074610,624950625,488944376,395935329,451341793,443274762,381768965,301966549,285267146
43,MPI_Isend,8641601,8894666,9727662,10315244,10366312,11369998,12224337,12183358,13814430,14183823
44,mpi_barrier_,31111,34481,33396,36290,33173,40669,33545,33505,36898,38773
45,__variables_MOD_init_variables,106211984,69438833,26473877,18494630,13332976,11065779,10478040,9010958,7935491,9916499
46,internal_w_,1209053458,810917571,331158674,240479325,219053012,185700969,150822288,124867003,108476706,100461971
47,internal_q_,10706411942,7096579752,3257458465,2259333956,1643171750,1674491932,1458558882,1206491940,1091573764,964509446
48,internal_u_,2638538329,1830194471,825586772,618651750,478943313,486604363,443247181,444798448,389797081,312110514
49,lateral_viscosity_,186519512,139061953,87513749,59028386,44880850,84430598,49099974,40788049,36095321,35760531
50,advct_,627071475,481972766,316248854,279792943,196589510,276947315,221425493,184353204,171628817,180296777
51,smoth_update_,126843143,93223213,49239322,125546343,34637388,42461879,37607657,46457140,29031115,27950295
52,adjust_uv_,617123960,417756023,211248692,140458456,100923199,118448848,112398348,84961374,77300968,73271163
53,MPI_Gather,17653115,14699686,13683556,69979790,61395463,67825500,46471600,71817912,74129550,160049492
54,MPI_Get_count,289773,298216,305371,303580,317417,312547,301499,307251,952935,335954
55,MPI_Irecv,110132,117681,113440,109122,185394,111665,112106,110641,114302,269400
56,mode_interaction_,1401151619,958112286,405905955,263541379,210751855,234102122,179623633,150751077,133445367,129063458
57,smoth_update1_,106875151,70439373,26316563,17566260,12103114,10139308,8908849,7866109,5845113,5366489
58,MAIN__,53581937,50929455,27249931,27978644,21200244,28153292,30623372,28770934,24992071,26221235
