               17207
               12015
               12334
8192           11595
               12582
               12351
               11763
2048            12162
1024            12354
512             11949
256             12446
               11877
               12558
128             11857
               11869
               12076
64              11849
32              11977
16              12849
8               11689
4               11873
2               12028
1               12521
                12187

