               65372
               49835
               41010
               36641
               35235
400,600,800,1000,1200
16,400,65369
16,600,49809
16,800,40999
16,1000,36615
16,1200,35247
               56727
               44117
               36145
               32438
               32044
400,600,800,1000,1200
32,400,56755
32,600,44068
32,800,36242
32,1000,32449
32,1200,31979
               52348
               41268
               34857
               31464
               31538
400,600,800,1000,1200
48,400,52394
48,600,41252
48,800,34870
48,1000,31479
48,1200,38504
               51921
               42332
               34824
               31254
               31476
400,600,800,1000,1200
64,400,51913
64,600,42295
64,800,34806
64,1000,31257
64,1200,31463
400,600,800,1000,1200
16,400,65369
16,600,49809
16,800,40999
16,1000,36615
16,1200,35247
32,400,56755
32,600,44068
32,800,36242
32,1000,32449
32,1200,31979
48,400,52394
48,600,41252
48,800,34870
48,1000,31479
48,1200,38504
64,400,51913
64,600,42295
64,800,34806
64,1000,31257
64,1200,31463
