0,MAIN__,2224797635
1,__config_MOD_loadconfig,21211025
2,__libc_start_main,-17909904432
3,__variables_MOD_init_variables,35983436
4,adjust_ufvf_,167784570
5,adjust_uv_,172513747
6,advave_,289902293
7,advct_,355895371
8,baropg_,624662804
9,bcond1_,41126796
10,bcond2_ua_,98647509
11,bcond2_va_,30126929
12,bcond3_u_,96567705
13,bcond3_v_,87954154
14,bcond4_,596005955
15,bcond6_,313149298
16,bottom_friction_,33184937
17,dens_,458393669
18,external_el_,78880870
19,external_ua_,168801841
20,external_update_,390590693
21,external_va_,161241528
22,get_time_,8795
23,init_fields_,58491
24,internal_q_,2630449394
25,internal_t_,1626355303
26,internal_u_,786060995
27,internal_update_,4365270
28,internal_v_,676051804
29,internal_w_,302816120
30,lateral_bc_,6115
31,lateral_viscosity_,86565196
32,main,18923
33,mode_interaction_,329451225
34,print_section_,209761550
35,read_init_,4509024608
36,smoth_update1_,18536854
37,smoth_update_,64510662
38,surface_forcing_,9247891
39,update_initial_,192903750
all time: 17893615711 17893.6 ms
error time: 16.2887 ms
