0,MAIN__,2314775588
1,__config_MOD_loadconfig,8910612
2,__libc_start_main,-12923981888
3,__variables_MOD_init_variables,40561210
4,adjust_ufvf_,85647915
5,adjust_uv_,89220412
6,advave_,179649194
7,advct_,287962933
8,baropg_,328389199
9,bcond1_,45624365
10,bcond2_ua_,92057584
11,bcond2_va_,24815654
12,bcond3_u_,66492376
13,bcond3_v_,44342957
14,bcond4_,326834357
15,bcond6_,198471456
16,bottom_friction_,26573106
17,dens_,402591258
18,external_el_,45026590
19,external_ua_,127851767
20,external_update_,329141466
21,external_va_,120287424
22,get_time_,8279
23,init_fields_,106548
24,internal_q_,1215520227
25,internal_t_,611105522
26,internal_u_,381234111
27,internal_update_,3536861
28,internal_v_,274735372
29,internal_w_,118668121
30,lateral_bc_,6156
31,lateral_viscosity_,58111444
32,main,18843
33,mode_interaction_,154993823
34,print_section_,158755486
35,read_init_,4487950614
36,smoth_update1_,6154471
37,smoth_update_,35193560
38,surface_forcing_,6332144
39,update_initial_,210242444
all time: 12907901449 12907.9 ms
error time: 16.0804 ms
